"long_name","short_code","chapter","kind","title"
"chapter_1_exercise_18","C1E18",1,"exercise","The data used in Chapter 1, Exercise 18"
"chapter_1_exercise_19","C1E19",1,"exercise","The data used in Chapter 1, Exercise 19"
"chapter_1_exercise_21","C1E21",1,"exercise","The data used in Chapter 1, Exercise 21"
"chapter_1_exercise_22","C1E22",1,"exercise","The data used in Chapter 1, Exercise 22"
"chapter_1_exercise_23","C1E23",1,"exercise","The data used in Chapter 1, Exercise 23"
"chapter_1_table_1","C1T1",1,"table","The data used in Chapter 1, Table 1"
"chapter_3_exercise_10","C3E10",3,"exercise","The data used in Chapter 3, Exercise 10"
"chapter_3_exercise_11","C3E11",3,"exercise","The data used in Chapter 3, Exercise 11"
"chapter_3_exercise_19","C3E19",3,"exercise","The data used in Chapter 3, Exercise 19"
"chapter_3_exercise_20","C3E20",3,"exercise","The data used in Chapter 3, Exercise 20"
"chapter_3_exercise_21","C3E21",3,"exercise","The data used in Chapter 3, Exercise 21"
"chapter_3_exercise_22","C3E22",3,"exercise","The data used in Chapter 3, Exercise 22"
"chapter_3_exercise_9","C3E9",3,"exercise","The data used in Chapter 3, Exercise 9"
"chapter_3_table_1","C3T1",3,"table","The data used in Chapter 3, Table 1"
"chapter_3_table_3","C3T3",3,"table","The data used in Chapter 3, Table 3"
"chapter_3_table_7_raw","C3T7R",3,"table_raw","The data used for Chapter 3, Table 7 (raw data to produce the summary measures)"
"chapter_3_table_9_raw","C3T9R",3,"table_raw","The data used for Chapter 3, Table 9 (raw data to produce the summary measures)"
"chapter_4_exercise_11","C4E11",4,"exercise","The data used in Chapter 4, Exercise 11"
"chapter_4_exercise_12","C4E12",4,"exercise","The data used in Chapter 4, Exercise 12"
"chapter_4_exercise_13","C4E13",4,"exercise","The data used in Chapter 4, Exercise 13"
"chapter_4_table_1","C4T1",4,"table","The data used in Chapter 4, Table 1"
"chapter_4_table_7","C4T7",4,"table","The data used in Chapter 4, Table 7"
"chapter_5_exercise_10","C5E10",5,"exercise","The data used in Chapter 5, Exercise 10"
"chapter_5_exercise_16","C5E16",5,"exercise","The data used in Chapter 5, Exercise 16"
"chapter_5_exercise_5","C5E5",5,"exercise","The data used in Chapter 5, Exercise 5"
"chapter_5_table_4","C5T4",5,"table","The data used in Chapter 5, Table 4"
"chapter_6_exercise_10","C6E10",6,"exercise","The data used in Chapter 6, Exercise 10"
"chapter_6_exercise_14","C6E14",6,"exercise","The data used in Chapter 6, Exercise 14"
"chapter_6_exercise_16","C6E16",6,"exercise","The data used in Chapter 6, Exercise 16"
"chapter_6_table_1","C6T1",6,"table","The data used in Chapter 6, Table 1"
"chapter_7_exercise_12","C7E12",7,"exercise","The data used in Chapter 7, Exercise 12"
"chapter_7_exercise_13","C7E13",7,"exercise","The data used in Chapter 7, Exercise 13"
"chapter_7_exercise_14","C7E14",7,"exercise","The data used in Chapter 7, Exercise 14"
"chapter_7_exercise_15","C7E15",7,"exercise","The data used in Chapter 7, Exercise 15"
"chapter_7_exercise_18","C7E18",7,"exercise","The data used in Chapter 7, Exercise 18"
"chapter_7_exercise_19","C7E19",7,"exercise","The data used in Chapter 7, Exercise 19"
"chapter_7_exercise_22","C7E22",7,"exercise","The data used in Chapter 7, Exercise 22"
"chapter_7_exercise_23","C7E23",7,"exercise","The data used in Chapter 7, Exercise 23"
"chapter_7_exercise_24","C7E24",7,"exercise","The data used in Chapter 7, Exercise 24"
"chapter_7_exercise_25","C7E25",7,"exercise","The data used in Chapter 7, Exercise 25"
"chapter_7_exercise_6","C7E6",7,"exercise","The data used in Chapter 7, Exercise 6"
"chapter_7_exercise_9","C7E9",7,"exercise","The data used in Chapter 7, Exercise 9"
"chapter_7_table_1","C7T1",7,"table","The data used in Chapter 7, Table 1"
"chapter_7_table_11","C7T11",7,"table","The data used in Chapter 7, Table 11"
"chapter_7_table_15","C7T15",7,"table","The data used in Chapter 7, Table 15"
"chapter_7_table_23","C7T23",7,"table","The data used in Chapter 7, Table 23"
"chapter_7_table_5","C7T5",7,"table","The data used in Chapter 7, Table 5"
"chapter_7_table_9","C7T9",7,"table","The data used in Chapter 7, Table 9"
"chapter_8_exercise_15","C8E15",8,"exercise","The data used in Chapter 8, Exercise 15"
"chapter_8_exercise_16","C8E16",8,"exercise","The data used in Chapter 8, Exercise 16"
"chapter_8_exercise_17","C8E17",8,"exercise","The data used in Chapter 8, Exercise 17"
"chapter_8_exercise_18","C8E18",8,"exercise","The data used in Chapter 8, Exercise 18"
"chapter_8_exercise_19","C8E19",8,"exercise","The data used in Chapter 8, Exercise 19"
"chapter_8_table_12","C8T12",8,"table","The data used in Chapter 8, Table 12"
"chapter_9_exercise_14","C9E14",9,"exercise","The data used in Chapter 9, Exercise 14"
"chapter_9_exercise_15","C9E15",9,"exercise","The data used in Chapter 9, Exercise 15"
"chapter_9_exercise_16","C9E16",9,"exercise","The data used in Chapter 9, Exercise 16"
"chapter_9_exercise_4","C9E4",9,"exercise","The data used in Chapter 9, Exercise 4"
"chapter_9_extension_exercise_1","C9ExtE1",9,"extension_exercise","The data used in Chapter 9 Extension, Exercise 1"
"chapter_9_extension_exercise_2","C9ExtE2",9,"extension_exercise","The data used in Chapter 9 Extension, Exercise 2"
"chapter_9_extension_exercise_3","C9ExtE3",9,"extension_exercise","The data used in Chapter 9 Extension, Exercise 3"
"chapter_9_extension_figures_4_and_5","C9ExtFigs4and5",9,"extension_figures","The data used in Chapter 9 Extension Figures 4 and 5"
"chapter_9_extension_table_1","C9ExtT1",9,"extension_table","The data used in Chapter 9, Extension Table 1"
"chapter_9_table_1","C9T1",9,"table","The data used in Chapter 9, Table 1"
"chapter_9_table_11","C9T11",9,"table","The data used in Chapter 9, Table 11"
"chapter_9_table_7","C9T7",9,"table","The data used in Chapter 9, Table 7"
"chapter_10_exercise_14","C10E14",10,"exercise","The data used in Chapter 10, Exercise 14"
"chapter_10_exercise_7","C10E7",10,"exercise","The data used in Chapter 10, Exercise 7"
"chapter_10_exercise_9","C10E9",10,"exercise","The data used in Chapter 10, Exercise 9"
"chapter_10_table_5","C10T5",10,"table","The data used in Chapter 10, Table 5"
"chapter_10_table_9","C10T9",10,"table","The data used in Chapter 10, Table 9"
"chapter_11_exercise_17","C11E17",11,"exercise","The data used in Chapter 11, Exercise 17"
"chapter_11_exercise_18","C11E18",11,"exercise","The data used in Chapter 11, Exercise 18"
"chapter_11_exercise_19","C11E19",11,"exercise","The data used in Chapter 11, Exercise 19"
"chapter_11_exercise_21","C11E21",11,"exercise","The data used in Chapter 11, Exercise 21"
"chapter_11_exercise_22","C11E22",11,"exercise","The data used in Chapter 11, Exercise 22"
"chapter_11_exercise_23","C11E23",11,"exercise","The data used in Chapter 11, Exercise 23"
"chapter_11_exercise_24","C11E24",11,"exercise","The data used in Chapter 11, Exercise 24"
"chapter_11_exercise_3","C11E3",11,"exercise","The data used in Chapter 11, Exercise 3"
"chapter_11_exercise_5","C11E5",11,"exercise","The data used in Chapter 11, Exercise 5"
"chapter_11_table_1","C11T1",11,"table","The data used in Chapter 11, Table 1"
"chapter_11_table_19","C11T19",11,"table","The data used in Chapter 11, Table 19"
"chapter_11_table_20","C11T20",11,"table","The data used in Chapter 11, Table 20"
"chapter_11_table_4","C11T4",11,"table","The data used in Chapter 11, Table 4"
"chapter_11_table_5","C11T5",11,"table","The data used in Chapter 11, Table 5"
"chapter_12_exercise_17","C12E17",12,"exercise","The data used in Chapter 12, Exercise 17"
"chapter_12_exercise_18","C12E18",12,"exercise","The data used in Chapter 12, Exercise 18"
"chapter_12_exercise_19","C12E19",12,"exercise","The data used in Chapter 12, Exercise 19"
"chapter_12_exercise_21","C12E21",12,"exercise","The data used in Chapter 12, Exercise 21"
"chapter_12_exercise_9","C12E9",12,"exercise","The data used in Chapter 12, Exercise 9"
"chapter_12_table_1","C12T1",12,"table","The data used in Chapter 12, Table 1"
"chapter_12_table_11","C12T11",12,"table","The data used in Chapter 12, Table 11"
"chapter_12_table_15","C12T15",12,"table","The data used in Chapter 12, Table 15"
"chapter_12_table_21","C12T21",12,"table","The data used in Chapter 12, Table 21"
"chapter_12_table_7","C12T7",12,"table","The data used in Chapter 12, Table 7"
"chapter_12_table_9","C12T9",12,"table","The data used in Chapter 12, Table 9"
"chapter_13_exercise_10","C13E10",13,"exercise","The data used in Chapter 13, Exercise 10"
"chapter_13_exercise_13","C13E13",13,"exercise","The data used in Chapter 13, Exercise 13"
"chapter_13_exercise_14","C13E14",13,"exercise","The data used in Chapter 13, Exercise 14"
"chapter_13_exercise_22","C13E22",13,"exercise","The data used in Chapter 13, Exercise 22"
"chapter_13_exercise_23","C13E23",13,"exercise","The data used in Chapter 13, Exercise 23"
"chapter_13_exercise_24","C13E24",13,"exercise","The data used in Chapter 13, Exercise 24"
"chapter_13_exercise_25","C13E25",13,"exercise","The data used in Chapter 13, Exercise 25"
"chapter_13_exercise_7","C13E7",13,"exercise","The data used in Chapter 13, Exercise 7"
"chapter_13_table_1","C13T1",13,"table","The data used in Chapter 13, Table 1"
"chapter_13_table_12","C13T12",13,"table","The data used in Chapter 13, Table 12"
"chapter_13_table_14","C13T14",13,"table","The data used in Chapter 13, Table 14"
"chapter_13_table_2","C13T2",13,"table","The data used in Chapter 13, Table 2"
"chapter_13_table_6","C13T6",13,"table","The data used in Chapter 13, Table 6"
"chapter_14_exercise_10","C14E10",14,"exercise","The data used in Chapter 14, Exercise 10"
"chapter_14_exercise_14","C14E14",14,"exercise","The data used in Chapter 14, Exercise 14"
"chapter_14_exercise_15","C14E15",14,"exercise","The data used in Chapter 14, Exercise 15"
"chapter_14_exercise_21","C14E21",14,"exercise","The data used in Chapter 14, Exercise 21"
"chapter_14_exercise_22","C14E22",14,"exercise","The data used in Chapter 14, Exercise 22"
"chapter_14_table_1","C14T1",14,"table","The data used in Chapter 14, Table 1"
"chapter_14_table_10","C14T10",14,"table","The data used in Chapter 14, Table 10"
"chapter_14_table_3","C14T3",14,"table","The data used in Chapter 14, Table 3"
"chapter_14_table_4","C14T4",14,"table","The data used in Chapter 14, Table 4"
"chapter_14_table_5","C14T5",14,"table","The data used in Chapter 14, Table 5"
"chapter_14_table_8","C14T8",14,"table","The data used in Chapter 14, Table 8"
"chapter_15_exercise_16","C15E16",15,"exercise","The data used in Chapter 15, Exercise 16"
"chapter_15_exercise_17","C15E17",15,"exercise","The data used in Chapter 15, Exercise 17"
"chapter_15_exercise_18","C15E18",15,"exercise","The data used in Chapter 15, Exercise 18"
"chapter_15_exercise_19","C15E19",15,"exercise","The data used in Chapter 15, Exercise 19"
"chapter_15_exercise_18_univariate","C15E18U",15,"exercise_univariate","The data used in Chapter 15, Exercise 18 (Univariate)"
"chapter_15_exercise_19_univariate","C15E19U",15,"exercise_univariate","The data used in Chapter 15, Exercise 19 (Univariate)"
"chapter_15_table_1","C15T1",15,"table","The data used in Chapter 15, Table 1"
"chapter_16_exercise_5","C16E5",16,"exercise","The data used in Chapter 16, Exercise 5"
"chapter_16_exercise_7","C16E7",16,"exercise","The data used in Chapter 16, Exercise 7"
"chapter_16_exercise_9","C16E9",16,"exercise","The data used in Chapter 16, Exercise 9"
"chapter_16_table_1","C16T1",16,"table","The data used in Chapter 16, Table 1"
"chapter_16_table_4","C16T4",16,"table","The data used in Chapter 16, Table 4"
"tutorial_1_table_1","T1T1",NA,"table_tutorial","The data used in Tutorial 1, Table 1"
"tutorial_2_table_1","T2T1",NA,"table_tutorial","The data used in Tutorial 2, Table 1"
"tutorial_2_table_2","T2T2",NA,"table_tutorial","The data used in Tutorial 2, Table 2"
"tutorial_3a_table_1","T3AT1",NA,"table_tutorial","The data used in Tutorial 3A, Table 1"
"tutorial_3a_table_2","T3AT2",NA,"table_tutorial","The data used in Tutorial 3A, Table 2"
"tutorial_3a_table_4","T3AT4",NA,"table_tutorial","The data used in Tutorial 3A, Table 4"
"tutorial_3a_table_5","T3AT5",NA,"table_tutorial","The data used in Tutorial 3A, Table 5"
